datetime,sym,price,size
2025.05.05D11:40:49.708490443,IBM,244.11,6
2025.05.05D11:40:49.714348344,IBM,244.11,5
2025.05.05D11:44:25.722867588,IBM,244.11,1
2025.05.05D11:45:00.122109352,IBM,244.15,25
2025.05.05D11:46:49.002532208,IBM,244.34,1
2025.05.05D11:47:05.793828687,IBM,244.33,13
2025.05.05D11:47:05.794219585,IBM,244.33,6
2025.05.05D11:47:51.083262406,IBM,244.35,2
2025.05.05D11:54:50.296357562,IBM,244.33,9
2025.05.05D11:54:50.300281885,IBM,244.31,10
2025.05.05D11:55:01.022683055,IBM,244.29,2
2025.05.05D11:55:01.128529035,IBM,244.2,4
2025.05.05D12:00:00.009746776,IBM,245.55,60097
2025.05.05D12:00:00.009755741,IBM,245.55,203623
2025.05.05D12:00:00.009954213,IBM,245.55,203622
2025.05.05D12:00:00.151179465,IBM,243.0012,1
2025.05.05D12:00:00.176265173,IBM,244.87,2
2025.05.05D12:00:00.210324371,IBM,244.01,1
2025.05.05D12:00:00.351080462,IBM,243.0012,1
2025.05.05D12:00:00.355083007,IBM,244.5,250
2025.05.05D12:00:00.630641266,IBM,244.6,5
2025.05.05D12:00:00.704319647,IBM,244.6,31
2025.05.05D12:00:00.726028374,IBM,244.5,20
2025.05.05D12:00:00.732487735,IBM,243.7,1
2025.05.05D12:00:00.917945308,IBM,244.035,1
2025.05.05D12:00:01.104605962,IBM,244.2925,1
2025.05.05D12:00:02.267384823,IBM,244.5,8
2025.05.05D12:00:02.314323546,IBM,244.6899,2
2025.05.05D12:00:02.399272872,IBM,245,2
2025.05.05D12:00:02.490383873,IBM,244.6,29
2025.05.05D12:00:02.495441830,IBM,244.08,200
2025.05.05D12:00:02.691668087,IBM,244.2,8
2025.05.05D12:00:02.759759258,IBM,243.27,2
2025.05.05D12:00:02.961566805,IBM,244.3,1
2025.05.05D12:00:03.064318418,IBM,243.4,1
2025.05.05D12:00:03.093424700,IBM,244.182,10
2025.05.05D12:00:03.182773557,IBM,244.6,1
2025.05.05D12:00:03.202557723,IBM,244.15,1
2025.05.05D12:00:03.267689775,IBM,244.15,1
2025.05.05D12:00:03.272185429,IBM,244.15,1
2025.05.05D12:00:03.337480006,IBM,244.3,1
2025.05.05D12:00:03.648730058,IBM,244.756,1
2025.05.05D12:00:03.727502619,IBM,244.15,1
2025.05.05D12:00:03.891248565,IBM,245.25,1
2025.05.05D12:00:07.365382166,IBM,243.9,2
2025.05.05D12:00:16.871284510,IBM,245.55,1
2025.05.05D12:00:20.505759987,IBM,243,1
2025.05.05D12:00:21.327418518,IBM,243,1
2025.05.05D12:00:21.740900153,IBM,243.9117,1
2025.05.05D12:00:21.740972334,IBM,243.9117,1
2025.05.05D12:00:23.150858672,IBM,244.04,70
2025.05.05D12:00:23.151920126,IBM,244.04,100
2025.05.05D12:00:23.384797658,IBM,244.5,2
2025.05.05D12:00:23.590177711,IBM,243,1
2025.05.05D12:00:23.888488033,IBM,243.61,2
2025.05.05D12:00:23.889453354,IBM,243.61,162
2025.05.05D12:00:24.354874573,IBM,245.55,1
2025.05.05D12:00:29.346806367,IBM,245.55,1
2025.05.05D12:00:30.070852387,IBM,245.55,1
2025.05.05D12:00:34.994726213,IBM,245.55,1
2025.05.05D12:00:38.416291586,IBM,244.05,10
2025.05.05D12:01:03.378073941,IBM,245.18,1
2025.05.05D12:02:02.680930260,IBM,245.55,1
2025.05.05D12:02:04.363274348,IBM,245.55,1
2025.05.05D12:02:07.215466967,IBM,245.55,1
2025.05.05D12:02:07.426780093,IBM,245.55,1
2025.05.05D12:02:09.799703634,IBM,245.55,1
2025.05.05D12:02:14.303416889,IBM,245.55,1
2025.05.05D12:02:16.184600296,IBM,245.55,1
2025.05.05D12:02:17.200325952,IBM,245.55,1
2025.05.05D12:02:18.518599134,IBM,245.55,1
2025.05.05D12:02:19.767060927,IBM,245.55,1
2025.05.05D12:02:21.383966118,IBM,245.55,1
2025.05.05D12:02:22.501977426,IBM,245.55,1
2025.05.05D12:02:22.619452074,IBM,245.55,1
2025.05.05D12:02:25.361393293,IBM,245.55,1
2025.05.05D12:02:27.746679391,IBM,245.55,1
2025.05.05D12:02:34.154646919,IBM,245.55,1
2025.05.05D12:02:34.442062293,IBM,245.55,1
2025.05.05D12:02:38.627645218,IBM,245.55,1
2025.05.05D12:04:31.728615092,IBM,244.11,41
2025.05.05D12:04:50.212997264,IBM,244.18,1
2025.05.05D12:04:50.213150831,IBM,244.11,5
2025.05.05D12:04:50.213153676,IBM,244.09,2
2025.05.05D12:04:59.538076289,IBM,244.17,1
2025.05.05D12:05:07.141961642,IBM,244.1,50
2025.05.05D12:05:30.309124626,IBM,244.1,1
2025.05.05D12:05:54.178248976,IBM,244.1,2
2025.05.05D12:05:54.724057734,IBM,244.1,25
2025.05.05D12:06:09.459048669,IBM,244.35,1
2025.05.05D12:06:16.065347700,IBM,244.09,100
2025.05.05D12:06:26.999230835,IBM,244.0867,30
2025.05.05D12:06:55.500137201,IBM,244.08,2
2025.05.05D12:08:27.349151089,IBM,244.08,15
2025.05.05D12:10:16.617425582,IBM,244.25,48
2025.05.05D12:10:42.513496571,IBM,244.31,10
2025.05.05D12:10:42.513496571,IBM,244.33,41
2025.05.05D12:10:42.513502383,IBM,244.33,5
2025.05.05D12:11:29.187874619,IBM,244.25,20
2025.05.05D12:13:32.999688998,IBM,244.12,14
2025.05.05D12:13:33.000046791,IBM,244.17,10
2025.05.05D12:13:33.000061753,IBM,244.12,2
2025.05.05D12:14:14.084895128,IBM,244.12,9
2025.05.05D12:14:18.842451905,IBM,244.025,2
2025.05.05D12:14:20.345908953,IBM,244.26,14
2025.05.05D12:14:20.346254698,IBM,244.26,14
2025.05.05D12:14:26.548761093,IBM,244.34,5
2025.05.05D12:14:29.833242491,IBM,244.49,10
2025.05.05D12:14:29.833245122,IBM,244.5,1
2025.05.05D12:14:44.975832784,IBM,244.26,50
2025.05.05D12:17:45.382360041,IBM,245,4
2025.05.05D12:17:45.383593086,IBM,244.88,4
2025.05.05D12:17:53.220828307,IBM,244.88,1
2025.05.05D12:17:53.220912250,IBM,245,1
2025.05.05D12:21:05.375048624,IBM,244.5,1
2025.05.05D12:22:01.580905622,IBM,244.5,400
2025.05.05D12:22:43.165433255,IBM,244.5,98
2025.05.05D12:22:43.165998564,IBM,244.5,69
2025.05.05D12:25:03.740481902,IBM,244.48,10
2025.05.05D12:26:12.931989550,IBM,244.28,56
2025.05.05D12:27:20.349822401,IBM,244.28,100
2025.05.05D12:27:20.349822401,IBM,244.26,1
2025.05.05D12:27:49.144916455,IBM,244.26,20
2025.05.05D12:28:07.535228642,IBM,244.1,50
2025.05.05D12:28:12.843396545,IBM,244.08,98
2025.05.05D12:28:22.146387809,IBM,244,2
2025.05.05D12:28:49.317485516,IBM,244.05,50
2025.05.05D12:28:49.317488573,IBM,244,100
2025.05.05D12:28:49.317492773,IBM,243.99,100
2025.05.05D12:28:49.317492773,IBM,243.98,49
2025.05.05D12:29:01.198786488,IBM,244.01,10
2025.05.05D12:29:01.198819448,IBM,244,15
2025.05.05D12:29:01.846333389,IBM,244.25,6
2025.05.05D12:29:01.846402630,IBM,244.25,1
2025.05.05D12:29:13.645069825,IBM,244.01,10
2025.05.05D12:29:23.064462390,IBM,244,8
2025.05.05D12:29:23.064465519,IBM,244,1
2025.05.05D12:29:23.064468185,IBM,244,1
2025.05.05D12:29:23.627535003,IBM,244.23,10
2025.05.05D12:29:23.627535003,IBM,244.25,8
2025.05.05D12:29:23.627577097,IBM,244,1
2025.05.05D12:29:23.627655353,IBM,244,10
2025.05.05D12:29:23.627910929,IBM,244,10
2025.05.05D12:29:23.627983071,IBM,244,10
2025.05.05D12:29:23.628046201,IBM,244,10
2025.05.05D12:29:28.084550083,IBM,243.77,1
2025.05.05D12:30:04.917784609,IBM,243.95,1
2025.05.05D12:32:02.197152658,IBM,244.32,2
2025.05.05D12:32:52.263515044,IBM,244.25,100
2025.05.05D12:33:30.351884240,IBM,243.83,1
2025.05.05D12:35:49.038812141,IBM,243.89,1
2025.05.05D12:36:53.073544422,IBM,243.92,1
2025.05.05D12:39:42.577356605,IBM,243.87,10
2025.05.05D12:39:42.577359595,IBM,243.79,10
2025.05.05D12:40:16.579437009,IBM,243.77,5
2025.05.05D12:43:05.194982033,IBM,243.7701,8
2025.05.05D12:46:50.573306849,IBM,243.8,6
2025.05.05D12:47:02.694618367,IBM,243.8001,50
2025.05.05D12:47:18.282759230,IBM,243.99,4
2025.05.05D12:47:31.672590270,IBM,243.99,1
2025.05.05D12:48:11.068933353,IBM,243.8,5
2025.05.05D12:49:14.932946268,IBM,243.92,25
2025.05.05D12:49:14.933111689,IBM,243.92,10
2025.05.05D12:49:14.933114652,IBM,243.8,45
2025.05.05D12:50:34.847625287,IBM,243.8,5
2025.05.05D12:51:47.002278034,IBM,244.31,8
2025.05.05D12:51:47.779815554,IBM,244.39,4
2025.05.05D12:52:36.123565717,IBM,244.32,1
2025.05.05D12:53:07.873156379,IBM,243.9,5
2025.05.05D12:54:48.725444998,IBM,243.9,5
2025.05.05D12:54:48.853132031,IBM,243.9,1
2025.05.05D12:56:09.929859701,IBM,244.32,14
2025.05.05D12:56:09.930085162,IBM,244.31,1
2025.05.05D13:00:27.538086952,IBM,244.45,1
