datetime,sym,price,size
2025.05.02D08:00:03.529026816,IBM,240.7,1
2025.05.02D08:00:03.640436224,IBM,241.68,1
2025.05.02D08:00:03.640770048,IBM,240.7,1
2025.05.02D08:01:29.506777088,IBM,240.7,2
2025.05.02D08:03:02.401138688,IBM,241.94,5
2025.05.02D08:03:55.435546624,IBM,241.98,1
2025.05.02D08:05:07.807278848,IBM,241,1
2025.05.02D08:05:07.807453184,IBM,241,1
2025.05.02D08:05:07.807501568,IBM,240.98,1
2025.05.02D08:05:07.860247040,IBM,241,1
2025.05.02D08:05:24.465964288,IBM,241.37,1
2025.05.02D08:05:24.466472448,IBM,241.38,1
2025.05.02D08:15:33.645780224,IBM,240.98,20
2025.05.02D08:23:03.956303104,IBM,240.96,2
2025.05.02D08:30:02.555375104,IBM,240.22,8
2025.05.02D08:34:07.771777280,IBM,240.3,1
2025.05.02D08:39:20.399057920,IBM,241,1
2025.05.02D08:43:46.518543104,IBM,240.98,4
2025.05.02D08:43:46.518603264,IBM,240.98,1
2025.05.02D08:43:46.518705408,IBM,240.98,4
2025.05.02D08:43:46.518762496,IBM,240.98,4
2025.05.02D08:43:46.518780672,IBM,240.98,1
2025.05.02D08:43:46.518796032,IBM,240.98,1
2025.05.02D08:43:46.518840832,IBM,240.98,1
2025.05.02D08:43:46.518852864,IBM,240.98,1
2025.05.02D08:44:12.915611136,IBM,240.98,8
2025.05.02D08:55:41.736075776,IBM,240.3,4
2025.05.02D08:55:42.960380672,IBM,240.3,1
2025.05.02D09:01:41.350433280,IBM,240.18,5
2025.05.02D09:01:41.350607616,IBM,240.18,5
2025.05.02D09:01:41.350815232,IBM,240.18,5
2025.05.02D09:04:11.246492416,IBM,240.18,5
2025.05.02D09:04:11.671347712,IBM,240.8,5
2025.05.02D09:04:11.798496768,IBM,240.8,3
2025.05.02D09:04:11.798532864,IBM,240.8,1
2025.05.02D09:04:11.798839552,IBM,240.8,1
2025.05.02D09:04:48.986199296,IBM,240.18,1
2025.05.02D09:08:26.538927616,IBM,240.8,3
2025.05.02D09:12:38.177486592,IBM,240.89,3
2025.05.02D09:13:32.453139456,IBM,240.89,14
2025.05.02D09:13:52.346105856,IBM,240.89,3
2025.05.02D09:14:00.424152064,IBM,240.83,3
2025.05.02D09:14:00.430722560,IBM,240.9,1
2025.05.02D09:14:04.433703936,IBM,240.9,3
2025.05.02D09:20:28.854220800,IBM,240.89,1
2025.05.02D09:20:33.892225024,IBM,240.09,1
2025.05.02D09:36:56.457294080,IBM,240.88,5
2025.05.02D09:40:45.822853376,IBM,240.7,2
2025.05.02D09:40:45.823021824,IBM,240.7,1
2025.05.02D09:40:45.823226368,IBM,240.7,2
2025.05.02D09:40:53.891116544,IBM,240.9,18
2025.05.02D09:45:52.973694464,IBM,240.88,4
2025.05.02D09:49:57.328199936,IBM,240.9,1
2025.05.02D09:53:55.903349504,IBM,240.89,1
2025.05.02D09:56:23.626510336,IBM,240.85,14
2025.05.02D09:56:26.142947328,IBM,240.85,5
2025.05.02D10:09:24.408868096,IBM,240.81,20
2025.05.02D10:09:24.408873984,IBM,240.8,20
2025.05.02D10:09:24.418611200,IBM,240.75,20
2025.05.02D10:09:42.279789056,IBM,240.69,20
2025.05.02D10:09:42.279792128,IBM,240.62,20
2025.05.02D10:09:42.279794688,IBM,240.51,103
2025.05.02D10:09:42.280053504,IBM,240.55,24
2025.05.02D10:09:42.280056320,IBM,240.52,60
2025.05.02D10:09:42.280062464,IBM,240.5,1
2025.05.02D10:09:42.280062464,IBM,240.5,12
2025.05.02D10:09:55.563097344,IBM,240.52,60
2025.05.02D10:09:55.563097344,IBM,240.51,140
2025.05.02D10:09:55.566576640,IBM,240.5,100
2025.05.02D10:14:15.038051840,IBM,240.73,10
2025.05.02D10:14:15.038340608,IBM,240.8,26
2025.05.02D10:21:04.825965568,IBM,240.51,7
2025.05.02D10:30:20.327088128,IBM,240.82,20
2025.05.02D10:30:20.327091200,IBM,240.85,20
2025.05.02D10:30:20.327157248,IBM,241.1,4
2025.05.02D10:30:20.327632640,IBM,241.11,10
2025.05.02D10:30:20.327686656,IBM,241.11,4
2025.05.02D11:00:00.062319616,IBM,240.75,10
2025.05.02D11:00:00.069067520,IBM,240.75,2
2025.05.02D11:00:00.069073664,IBM,240.5,1
2025.05.02D11:00:00.069076480,IBM,240.5,7
2025.05.02D11:00:00.219996928,IBM,240.81,1
2025.05.02D11:00:00.257475328,IBM,240.8,1
2025.05.02D11:00:00.286641664,IBM,240.77,20
2025.05.02D11:02:21.665952768,IBM,240.84,10
2025.05.02D11:02:21.669985536,IBM,240.89,10
2025.05.02D11:03:59.819249664,IBM,240.95,1
2025.05.02D11:03:59.819268096,IBM,240.9,2
2025.05.02D11:03:59.819279872,IBM,240.92,11
2025.05.02D11:03:59.819517440,IBM,240.93,1
2025.05.02D11:04:28.510654208,IBM,240.95,3
2025.05.02D11:09:06.182223360,IBM,240.95,20
2025.05.02D11:09:06.182283520,IBM,240.94,20
2025.05.02D11:09:40.750246144,IBM,240.95,5
2025.05.02D11:09:40.750255104,IBM,240.95,5
2025.05.02D11:09:40.750321408,IBM,240.95,3
2025.05.02D11:09:40.750435584,IBM,241.1,20
2025.05.02D11:09:40.750480640,IBM,241.1,4
2025.05.02D11:09:40.750513920,IBM,241,1
2025.05.02D11:09:40.750649088,IBM,240.93,5
2025.05.02D11:09:42.979399424,IBM,241.23,10
2025.05.02D11:18:16.357225216,IBM,241.21,10
2025.05.02D11:20:17.509515008,IBM,241.23,1
2025.05.02D11:26:33.994388480,IBM,240.88,3
2025.05.02D11:29:40.896296448,IBM,240.88,13
2025.05.02D11:31:24.777673472,IBM,240.88,24
2025.05.02D11:31:24.777878016,IBM,240.88,163
2025.05.02D11:31:32.465059328,IBM,240.77,20
2025.05.02D11:31:32.465062144,IBM,240.61,21
2025.05.02D11:31:32.596517376,IBM,240.6,1
2025.05.02D11:31:32.596517376,IBM,240.56,40
2025.05.02D11:31:32.596950272,IBM,240.8,5
2025.05.02D11:35:49.838113792,IBM,240.8,10
2025.05.02D11:38:17.074530048,IBM,240.94,3
2025.05.02D11:42:37.415289600,IBM,240.94,5
2025.05.02D11:42:37.415382784,IBM,241.06,5
2025.05.02D11:42:37.415488000,IBM,241,5
2025.05.02D11:42:37.415818752,IBM,240.99,20
2025.05.02D11:42:37.416414208,IBM,241.06,15
2025.05.02D11:42:37.420389632,IBM,241.19,5
2025.05.02D11:47:43.636509440,IBM,240.8,20
2025.05.02D11:48:26.063011328,IBM,240.81,2
2025.05.02D11:49:16.765430528,IBM,240.87,2
2025.05.02D11:49:16.765613568,IBM,240.88,20
2025.05.02D11:49:16.766275328,IBM,240.8,2
2025.05.02D11:57:28.731538176,IBM,240.7,1
2025.05.02D12:00:00.082625536,IBM,240.7,1
2025.05.02D12:00:00.158111488,IBM,240.8,1
2025.05.02D12:00:00.159494656,IBM,240.8,25
2025.05.02D12:00:00.174993664,IBM,240.8,41
2025.05.02D12:00:00.322121984,IBM,240.8,11
2025.05.02D12:00:00.382995968,IBM,240.95,1
2025.05.02D12:00:00.669416192,IBM,241,20
2025.05.02D12:00:00.765122048,IBM,240.908,1
2025.05.02D12:00:01.120346112,IBM,240.8,2
2025.05.02D12:00:01.120382208,IBM,240.75,10
2025.05.02D12:00:01.122631424,IBM,240.8,4
2025.05.02D12:00:02.214164736,IBM,239.7,1
2025.05.02D12:00:02.518194688,IBM,239.8,1
2025.05.02D12:00:02.594811136,IBM,240.5,1
2025.05.02D12:00:02.706028032,IBM,240.5,5
2025.05.02D12:00:02.825541376,IBM,241,2
2025.05.02D12:00:02.908541952,IBM,241.758,10
2025.05.02D12:00:02.934911744,IBM,242.18,10
2025.05.02D12:00:02.963861504,IBM,242.2,1
2025.05.02D12:00:02.965683968,IBM,240.5,1
2025.05.02D12:00:03.030076160,IBM,240.5,2
2025.05.02D12:00:03.087019776,IBM,241.23,2
2025.05.02D12:00:03.142444800,IBM,240.5,10
2025.05.02D12:00:03.236719360,IBM,241.9,8
2025.05.02D12:00:09.575627520,IBM,239.66,1
2025.05.02D12:00:17.949484544,IBM,239.66,1
2025.05.02D12:00:19.327383552,IBM,242.15,53
2025.05.02D12:00:19.327994112,IBM,242.41,29
2025.05.02D12:00:19.328541440,IBM,242.6,8
2025.05.02D12:00:19.329251072,IBM,243,1
2025.05.02D12:00:19.330093056,IBM,243,2
2025.05.02D12:00:19.427768576,IBM,242,200
2025.05.02D12:00:19.552283136,IBM,242,19
2025.05.02D12:00:20.761312768,IBM,242.38,1
2025.05.02D12:00:21.505554944,IBM,242.37,10
2025.05.02D12:00:21.775168000,IBM,241.68,1
2025.05.02D12:00:23.484380160,IBM,239.66,1
2025.05.02D12:00:27.071642368,IBM,239.66,1
2025.05.02D12:00:29.235629824,IBM,239.66,1
2025.05.02D12:00:30.551192832,IBM,239.66,1
2025.05.02D12:00:33.259180032,IBM,239.66,1
2025.05.02D12:00:38.887264768,IBM,239.66,1
2025.05.02D12:01:10.714061056,IBM,241.01,2
2025.05.02D12:01:15.119969280,IBM,240.71,1
2025.05.02D12:02:00.125752064,IBM,240.5003,2
2025.05.02D12:02:02.781661440,IBM,239.66,1
2025.05.02D12:02:03.372520704,IBM,239.66,1
2025.05.02D12:02:04.267584256,IBM,239.66,1
2025.05.02D12:02:05.367900416,IBM,239.66,1
2025.05.02D12:02:05.614686464,IBM,239.66,1
2025.05.02D12:02:05.707261952,IBM,239.66,1
2025.05.02D12:02:06.003614720,IBM,239.66,1
2025.05.02D12:02:06.041255424,IBM,239.66,1
2025.05.02D12:02:07.066336512,IBM,239.66,1
2025.05.02D12:02:11.890583040,IBM,239.66,1
2025.05.02D12:02:11.920928512,IBM,239.66,1
2025.05.02D12:02:14.939262464,IBM,239.66,1
2025.05.02D12:02:15.139689728,IBM,239.66,1
2025.05.02D12:02:16.441397248,IBM,239.66,1
2025.05.02D12:02:17.997350144,IBM,239.66,1
2025.05.02D12:02:21.424838656,IBM,239.66,1
2025.05.02D12:02:21.490466816,IBM,239.66,1
2025.05.02D12:02:24.032678912,IBM,239.66,1
2025.05.02D12:02:33.672039680,IBM,239.66,1
2025.05.02D12:02:36.904808704,IBM,239.66,1
2025.05.02D12:02:38.837553920,IBM,239.66,1
2025.05.02D12:02:44.146136832,IBM,239.66,1
2025.05.02D12:02:45.607047936,IBM,239.66,1
2025.05.02D12:02:45.612932864,IBM,239.66,1
2025.05.02D12:02:47.661789440,IBM,239.66,1
2025.05.02D12:03:10.981100032,IBM,240.8,1
2025.05.02D12:03:36.007130368,IBM,240.72,4
2025.05.02D12:03:43.244186624,IBM,240.65,15
2025.05.02D12:06:26.704531712,IBM,240.72,1
2025.05.02D12:06:40.809693440,IBM,240.74,1
2025.05.02D12:07:27.159578368,IBM,240.72,20
2025.05.02D12:07:27.159629568,IBM,240.72,20
2025.05.02D12:08:14.897851136,IBM,240.73,3
2025.05.02D12:08:22.602617088,IBM,240.8,1
2025.05.02D12:10:36.794615296,IBM,240.77,1
2025.05.02D12:10:36.794684416,IBM,240.8,438
2025.05.02D12:10:36.794693632,IBM,240.77,9
2025.05.02D12:10:36.794729472,IBM,240.8,16
2025.05.02D12:10:36.794741760,IBM,240.8,22
2025.05.02D12:10:49.623872512,IBM,240.53,1
2025.05.02D12:13:19.651061248,IBM,241,1
2025.05.02D12:13:20.839249920,IBM,240.92,1
2025.05.02D12:17:00.723133184,IBM,241.01,50
2025.05.02D12:22:47.731562752,IBM,241.11,1
2025.05.02D12:25:27.517668096,IBM,240.93,10
2025.05.02D12:29:14.538733312,IBM,241,5
2025.05.02D12:29:14.538784512,IBM,241,5
2025.05.02D12:29:14.539328512,IBM,241.09,3
2025.05.02D12:29:14.539458048,IBM,241.04,2
2025.05.02D12:29:14.539581184,IBM,241.04,20
2025.05.02D12:29:25.726718976,IBM,241.11,3
2025.05.02D12:29:25.726757888,IBM,241.11,5
2025.05.02D12:29:25.726893312,IBM,241.06,2
2025.05.02D12:29:25.727025408,IBM,241.11,1
2025.05.02D12:30:01.094745088,IBM,241.23,10
2025.05.02D12:30:01.094745088,IBM,241.23,1
2025.05.02D12:30:01.098329600,IBM,241.7,5
2025.05.02D12:30:01.098594304,IBM,241.67,40
2025.05.02D12:30:01.110324992,IBM,241.88,89
2025.05.02D12:30:01.114559232,IBM,241.88,5
2025.05.02D12:30:01.117821952,IBM,241.88,10
2025.05.02D12:30:01.118998016,IBM,241.88,5
2025.05.02D12:30:01.120997376,IBM,241.88,5
2025.05.02D12:30:11.209600768,IBM,241.8,24
2025.05.02D12:30:11.209600768,IBM,241.89,26
2025.05.02D12:30:35.679858944,IBM,241.88,2
2025.05.02D12:31:42.765326080,IBM,241.88,6
2025.05.02D12:31:42.765374208,IBM,241.89,15
2025.05.02D12:31:42.765377280,IBM,241.89,224
2025.05.02D12:31:45.077526272,IBM,241.89,25
2025.05.02D12:33:00.586025472,IBM,241.9,1
2025.05.02D12:33:42.310533376,IBM,241.24,20
2025.05.02D12:33:42.310536192,IBM,240.76,80
2025.05.02D12:33:42.310578432,IBM,241.03,69
2025.05.02D12:33:42.310578432,IBM,241.03,31
2025.05.02D12:35:47.621295360,IBM,240.93,50
2025.05.02D12:36:05.552227840,IBM,240.7,9
2025.05.02D12:36:07.494233856,IBM,241.9,18
2025.05.02D12:36:40.003432704,IBM,241.9133,40
2025.05.02D12:37:24.303090176,IBM,241.89,5
2025.05.02D12:38:01.271815680,IBM,242,10
2025.05.02D12:39:48.851482624,IBM,241.9903,100
2025.05.02D12:40:11.780598016,IBM,241.74,5
2025.05.02D12:40:18.024933632,IBM,241.9936,151
2025.05.02D12:40:18.724843776,IBM,241.03,1
2025.05.02D12:41:57.900781824,IBM,241.9,1
2025.05.02D12:42:44.486728192,IBM,241.55,9
2025.05.02D12:43:15.316573440,IBM,241.35,50
2025.05.02D12:43:45.488805632,IBM,241.06,1
2025.05.02D12:43:54.442870016,IBM,240.75,10
2025.05.02D12:43:59.139688960,IBM,240.75,12
2025.05.02D12:45:30.754194176,IBM,241.9,1
2025.05.02D12:46:17.780251136,IBM,241.03,211
2025.05.02D12:47:18.927099904,IBM,240.75,5
2025.05.02D12:47:26.822086912,IBM,240.75,25
2025.05.02D12:50:58.436203776,IBM,241,17
2025.05.02D12:51:13.078269696,IBM,240.75,17
2025.05.02D12:51:24.055068672,IBM,241.3299,1
2025.05.02D12:51:35.678310144,IBM,241.33,1
